Top,中文名称,其他名称,是否可播放,导演,主演,发布年份,发布国家,电影类型,电影评分,评价人数,引言
81,布达佩斯大饭店,  布达佩斯大酒店(港)    欢迎来到布达佩斯大饭店(台),可播放,"导演:,韦斯·安德森,Wes,Anderson","主演:,拉尔夫·费因斯,Ralph,Fiennes,/,...",2014,"英国,德国,美国","冒险,喜剧,剧情",8.9,1100498人评价,小清新的故事里注入了大历史的情怀。
82,飞越疯人院,  飞越杜鹃窝(台)    飞越喜鹊巢,未知,"导演:,米洛斯·福尔曼,Miloš,Forman","主演:,杰克·尼科尔森,Jack,Nichols...",1975,美国,剧情,9.1,612069人评价,暂无引言
83,禁闭岛,  不赦岛(港)    隔离岛(台),可播放,"导演:,Martin,Scorsese","主演:,莱昂纳多·迪卡普里奥,Leonardo,DiCaprio,/,...",2010,美国,"惊悚,悬疑,剧情",8.9,1130469人评价,昔日翩翩少年，今日大腹便便。
84,心灵捕手,  骄阳似我(港)    心灵捕手,可播放,"导演:,格斯·范·桑特,Gus,Van,Sant","主演:,马特·达蒙,Matt,Damon,/,罗宾·...",1997,美国,剧情,9.0,827007人评价,暂无引言
85,致命魔术,  死亡魔法(港)    顶尖对决(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,休·杰克曼,Hugh,Jackman...",2006,"美国,英国","惊悚,悬疑,剧情",8.9,979495人评价,孪生蝙蝠侠大战克隆金刚狼。
86,低俗小说,  危险人物(港)    黑色追缉令(台),可播放,"导演:,昆汀·塔伦蒂诺,Quentin,Tarantino","主演:,约翰·特拉沃尔塔,John,Tra...",1994,美国,"犯罪,喜剧,剧情",8.9,974065人评价,暂无引言
87,哈利·波特与密室,  哈利波特2：消失的密室(港  台) ,可播放,"导演:,Chris,Columbus","主演:,丹尼尔·雷德克里夫,Daniel,Radcliffe,/,艾玛...",2002,"美国,英国","冒险,奇幻",8.9,933405人评价,暂无引言
88,一一,  Yi yi    Yi yi: A One and a Two,未知,"导演:,杨德昌,Edward,Yang","主演:,吴念真,/,李凯莉,Kelly,Lee,/,金燕玲,Elai...",2000,"日本,中国台湾","家庭,爱情,剧情",9.1,527289人评价,暂无引言
89,超脱,  人间师格(台),可播放,"导演:,托尼·凯耶,Tony,Kaye","主演:,艾德里安·布洛迪,Adrien,Brody,/,马西...",2011,美国,剧情,9.0,734957人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
90,喜剧之王,  King of Comedy,可播放,"导演:,周星驰,Stephen,Chow,/,李力持,Lik-Chi,Lee","主演:,周星驰,Stephen,Ch...",1999,中国香港,"爱情,剧情,喜剧",8.8,1114659人评价,暂无引言
91,致命ID,  杀人游戏    致命身份,可播放,"导演:,詹姆斯·曼高德,James,Mangold","主演:,约翰·库萨克,John,Cusack,/,雷...",2003,美国,"惊悚,悬疑,剧情",8.9,967345人评价,暂无引言
92,杀人回忆,  谋杀回忆    杀手回忆录,可播放,"导演:,奉俊昊,Joon-ho,Bong","主演:,宋康昊,Kang-ho,Song,/,金相庆,Sang-kyun...",2003,韩国,"惊悚,悬疑,犯罪,动作,剧情",8.9,851718人评价,暂无引言
93,摩登时代,  The Masses    Les Temps modernes,可播放,"导演:,查理·卓别林,Charles,Chaplin","主演:,查理·卓别林,Charles,Chaplin,...",1936,美国,"爱情,喜剧,剧情",9.3,352806人评价,暂无引言
94,加勒比海盗,  加勒比海盗1：黑珍珠号的诅咒    神鬼奇航：鬼盗船魔咒(台),可播放,"导演:,戈尔·维宾斯基,Gore,Verbinski","主演:,约翰尼·德普,Johnny,Depp,/,...",2003,美国,"奇幻,冒险,动作",8.9,983914人评价,暂无引言
95,春光乍泄,  一起快乐    Happy Together,未知,"导演:,王家卫,Kar,Wai,Wong","主演:,张国荣,Leslie,Cheung,/,梁朝伟,Tony,Leu...",1997,"韩国,日本,中国香港","同性,爱情,剧情",9.0,717824人评价,暂无引言
96,海豚湾,  血色海湾(台)    海湾,可播放,"导演:,路易·西霍尤斯,Louie,Psihoyos","主演:,路易·西霍尤斯,Louie,Psihoyo...",2009,美国,纪录片,9.3,385414人评价,海豚的微笑，是世界上最高明的伪装。
97,美国往事,  四海兄弟(台)    义薄云天(港),可播放,"导演:,赛尔乔·莱翁内,Sergio,Leone","主演:,罗伯特·德尼罗,Robert,De,Niro,...",1984,"意大利,美国","剧情,犯罪",9.1,479295人评价,暂无引言
98,七宗罪,  火线追缉令(台)    7宗罪,可播放,"导演:,大卫·芬奇,David,Fincher","主演:,摩根·弗里曼,Morgan,Freeman,/,布...",1995,美国,"惊悚,悬疑,犯罪,剧情",8.8,1080033人评价,暂无引言
99,红辣椒,  盗梦侦探(港  台) ,可播放,"导演:,今敏,Satoshi,Kon","主演:,林原惠美,Megumi,Hayashibara,/,江守彻,Toru...",2006,日本,"惊悚,科幻,悬疑,动画",9.0,582426人评价,梦的勾结。
100,唐伯虎点秋香,  Flirting Scholar,可播放,"导演:,李力持,Lik-Chi,Lee","主演:,周星驰,Stephen,Chow,/,巩俐,Li,Gong,/,陈...",1993,中国香港,"古装,爱情,喜剧",8.8,1244220人评价,暂无引言
101,狩猎,  诬网(港)    谎言的烙印(台),可播放,"导演:,托马斯·温特伯格,Thomas,Vinterberg","主演:,麦斯·米科尔森,Mads,Mik...",2012,"瑞典,丹麦",剧情,9.1,480044人评价,人言可畏。
102,幽灵公主,  魔法公主    幽灵少女,未知,"导演:,宫崎骏,Hayao,Miyazaki","主演:,松田洋治,Yôji,Matsuda,/,石田百合...",1997,日本,"冒险,奇幻,动画",8.9,680608人评价,暂无引言
