Top,中文名称,其他名称,是否可播放,导演,主演,发布年份,发布国家,电影类型,电影评分,评价人数,引言
160,大鱼,  大鱼奇缘(港)    大智若鱼(台),可播放,"导演:,蒂姆·波顿,Tim,Burton","主演:,伊万·麦克格雷格,Ewan,McGregor,/,阿...",2003,美国,"冒险,奇幻,爱情,剧情",8.8,635036人评价,暂无引言
161,背靠背，脸对脸,"  背对背，脸对脸    Back to Back, Face to Face",可播放,"导演:,黄建新,Jianxin,Huang,/,杨亚洲,Yazhou,Yang","主演:,牛振华,Zhenhua,N...",1994,"中国香港,中国大陆",剧情,9.4,186274人评价,暂无引言
162,你的名字。,  你的名字    君之名,可播放,"导演:,新海诚,Makoto,Shinkai","主演:,神木隆之介,Ryûnosuke,Kamiki,/,上...",2016,日本,"动画,爱情,剧情",8.5,1618706人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,血战钢锯岭,  钢锯岭    钢铁英雄(台),可播放,"导演:,梅尔·吉布森,Mel,Gibson","主演:,安德鲁·加菲尔德,Andrew,Garfield,/...",2016,"美国,澳大利亚","战争,历史,传记,剧情",8.7,871572人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
164,射雕英雄传之东成西就,  东成西就    大英雄 (日本),可播放,"导演:,刘镇伟,Jeffrey,Lau","主演:,梁朝伟,Tony,Leung,Chiu,Wai,/,林青霞,Bri...",1993,中国香港,"古装,武侠,奇幻,喜剧",8.7,727838人评价,暂无引言
165,末路狂花,  塞尔玛与路易丝,未知,"导演:,雷德利·斯科特,Ridley,Scott","主演:,吉娜·戴维斯,Geena,Davis,/,苏...",1991,"法国,英国,美国","犯罪,喜剧,剧情",9.0,362028人评价,暂无引言
166,高山下的花环,  卫国军魂(港)    Wreaths at the Foot of the Mountain,可播放,"导演:,谢晋,Jin,Xie","主演:,吕晓禾,Xiaohe,Lü,/,唐国强,Guoqiang,Tang,/,何...,1984(中国大陆),/",1985,中国大陆,"战争,剧情",9.5,169128人评价,暂无引言
167,我是山姆,  不一样的爸爸(港)    他不笨，他是我爸爸(台),可播放,"导演:,杰茜·尼尔森,Jessie,Nelson","主演:,Sean,Penn,/,Dakota,Fanning,/,Mi...",2001,美国,"家庭,剧情",9.0,383140人评价,暂无引言
168,阳光姐妹淘,  阳光姊妹淘(港)    桑尼,未知,"导演:,姜炯哲,Hyeong-Cheol,Kang","主演:,沈恩京,Eun-kyung,Shim,/,闵孝琳,Hy...",2011,韩国,"喜剧,剧情",8.8,646467人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
169,黑客帝国3：矩阵革命,  22世纪杀人网络3：惊变世纪(港)    骇客任务完结篇：最后战役(台),可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.8,504984人评价,暂无引言
170,恐怖直播,  死亡“动”新闻(港)    恐怖攻击直播(台),可播放,"导演:,金秉祐,Byeong-woo,Kim","主演:,河正宇,Jung-woo,Ha,/,李璟荣,Kyeong-y...",2013,韩国,"悬疑,犯罪,剧情",8.7,738654人评价,恐怖分子的“秋菊打官司”。
171,谍影重重3,  叛谍追击3：最后通牒(港)    神鬼认证：最后通牒 (台),可播放,"导演:,保罗·格林格拉斯,Paul,Greengrass","主演:,马特·达蒙,Matt,Damon,/,...",2007,"英国,法国,德国,美国","惊悚,悬疑,动作",8.9,480263人评价,像吃了苏打饼一样干脆的电影。
172,小丑,  小丑起源电影：罗密欧    Romeo,未知,"导演:,托德·菲利普斯,Todd,Phillips","主演:,杰昆·菲尼克斯,Joaquin,Phoeni...",2019,"加拿大,美国","惊悚,犯罪,剧情",8.7,1138641人评价,暂无引言
173,无间道2,  无间道前传    Infernal Affairs II,可播放,"导演:,刘伟强,Andrew,Lau,/,麦兆辉,Alan,Mak","主演:,陈冠希,Edison,Chen,/,...",2003,中国香港,"惊悚,犯罪,剧情",8.8,580036人评价,暂无引言
174,三块广告牌,  广告牌杀人事件(港)    意外(台),可播放,"导演:,马丁·麦克唐纳,Martin,McDonagh","主演:,弗兰西斯·麦克多蒙德,France...",2017,"美国,英国","犯罪,剧情",8.7,933193人评价,怼天怼地，你走后，她与世界为敌。
175,电锯惊魂,  恐惧斗室(港)    夺魂锯(台),未知,"导演:,詹姆斯·温,James,Wan","主演:,雷·沃纳尔,Leigh,Whannell,/,加利·艾...",2004,美国,"恐怖,惊悚,悬疑",8.7,625212人评价,真相就在眼前。
176,达拉斯买家俱乐部,  续命枭雄(港)    药命俱乐部(台),可播放,"导演:,让-马克·瓦雷,Jean-Marc,Vallée","主演:,马修·麦康纳,Matthew,McCon...",2013,美国,"同性,传记,剧情",8.8,514072人评价,Jared Leto的腿比女人还美！
177,疯狂原始人,  古鲁家族(港  台) ,可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.7,933793人评价,老少皆宜，这就是好莱坞动画的魅力。
178,疯狂的石头,  Crazy Stone,可播放,"导演:,宁浩,Hao,Ning","主演:,郭涛,Tao,Guo,/,刘桦,Hua,Liu,/,连晋,Teddy,Lin",2006,"中国香港,中国大陆","犯罪,喜剧",8.6,941149人评价,中国版《两杆大烟枪》。
179,绿里奇迹,  绿色奇迹(台)    绿色英里,可播放,"导演:,弗兰克·德拉邦特,Frank,Darabont","主演:,汤姆·汉克斯,Tom,Hanks,/,...",1999,美国,"悬疑,奇幻,剧情,犯罪",8.9,396065人评价,暂无引言
180,爱在午夜降临前,  情约半生(港)    爱在午夜希腊时(台),可播放,"导演:,理查德·林克莱特,Richard,Linklater","主演:,伊桑·霍克,Ethan,Hawke,...",2013,"希腊,美国","爱情,剧情",8.8,485450人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
181,雨中曲,  万花嬉春(港  台) ,可播放,"导演:,斯坦利·多南,Stanley,Donen,/,吉恩·凯利,Gene,Kelly","主演:,吉恩·...",1952,美国,"爱情,歌舞,喜剧",9.1,275156人评价,暂无引言
182,2001太空漫游,  2001：星际漫游    2001：太空奥德赛,可播放,"导演:,斯坦利·库布里克,Stanley,Kubrick","主演:,凯尔·杜拉,Keir,Dullea,/,...",1968,"美国,英国","冒险,惊悚,科幻",8.9,407055人评价,暂无引言
183,海街日记,  海街女孩日记(港)    Kamakura Diary,可播放,"导演:,是枝裕和,Hirokazu,Koreeda","主演:,绫濑遥,Haruka,Ayase,/,长泽雅美,M...",2015,日本,"家庭,剧情",8.8,533325人评价,是枝裕和的家庭习作。
184,心迷宫,  殡棺    The Coffin in the Mountain,可播放,"导演:,忻钰坤,Yukun,Xin","主演:,霍卫民,Weimin,Huo,/,王笑天,Xiaotian,Wang,...",2014,中国大陆,"悬疑,犯罪,剧情",8.7,630078人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
185,上帝之城,  无主之城(港)    无法无天(台),未知,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,9.0,338436人评价,暂无引言
186,风之谷,  风谷少女    Kaze no tani no Naushika,未知,"导演:,宫崎骏,Hayao,Miyazaki","主演:,岛本须美,Sumi,Shimamoto,/,松田洋治,Y...",1984,日本,"冒险,奇幻,动画",8.9,398887人评价,暂无引言
187,记忆碎片,  凶心人(港)    记忆拼图(台),可播放,"导演:,克里斯托弗·诺兰,Christopher,Nolan","主演:,盖·皮尔斯,Guy,Pearce,/...",2000,美国,"惊悚,悬疑,剧情,犯罪",8.7,721764人评价,暂无引言
188,英雄本色,  A Better Tomorrow    Gangland Boss,可播放,"导演:,吴宇森,John,Woo","主演:,周润发,Yun-Fat,Chow,/,狄龙,Lung,Ti,/,张国...",1986,中国香港,"犯罪,动作,剧情",8.6,615906人评价,暂无引言
189,纵横四海,  Once a Thief,可播放,"导演:,吴宇森,John,Woo","主演:,周润发,Yun-Fat,Chow,/,张国荣,Leslie,Cheung...",1991,中国香港,"犯罪,动作,喜剧,剧情",8.8,496361人评价,暂无引言
190,恐怖游轮,  汪洋血迷宮(台)    轮回三角,可播放,"导演:,克里斯托弗·史密斯,Christopher,Smith","主演:,梅利莎·乔治,Melissa,...",2009,"澳大利亚,英国","惊悚,奇幻,悬疑,科幻",8.5,1056620人评价,不要企图在重复中寻找已经失去的爱。
191,无敌破坏王,  破坏王拉尔夫    破坏王大冒险,可播放,"导演:,瑞奇·莫尔,Rich,Moore","主演:,约翰·C·赖利,John,C.,Reilly,/,萨拉...",2012,美国,"冒险,奇幻,动画,喜剧",8.7,622128人评价,迪士尼和皮克斯拿错剧本的产物。
192,芙蓉镇,  Hibiscus Town,可播放,"导演:,谢晋,Jin,Xie","主演:,刘晓庆,Xiaoqing,Liu,/,姜文,Wen,Jiang,/,郑在石...",1987,中国大陆,"爱情,剧情",9.3,197620人评价,暂无引言
193,魔女宅急便,  魔女琪琪(台)    小魔女限时专送,未知,"导演:,宫崎骏,Hayao,Miyazaki","主演:,高山南,Minami,Takayama,/,佐久间玲,Re...",1989,日本,"冒险,奇幻,动画",8.8,534219人评价,暂无引言
194,牯岭街少年杀人事件,  A Brighter Summer Day,未知,"导演:,杨德昌,Edward,Yang","主演:,张震,Chen,Chang,/,杨静怡,Lisa,Yang,/,张...",1991,中国台湾,"犯罪,剧情",8.9,380047人评价,暂无引言
195,小偷家族,  Shoplifters    Une Affaire de Famille,可播放,"导演:,是枝裕和,Hirokazu,Koreeda","主演:,中川雅也,Lily,Franky,/,安藤樱,Sa...",2018,日本,"家庭,犯罪,剧情",8.7,906206人评价,我们组成了家。
196,卢旺达饭店,  卢安达饭店(台),可播放,"导演:,特瑞·乔治,Terry,George","主演:,唐·钱德尔,Don,Cheadle,/,苏菲·奥...",2004,"美国,意大利,南非,英国","战争,历史,传记,剧情",8.9,373589人评价,当这个世界闭上双眼，他却敞开了怀抱。
197,东京教父,  Tokyo Godfathers,可播放,"导演:,今敏,Satoshi,Kon","主演:,江守彻,Toru,Emori,/,梅垣义明,Yoshiaki,Ume...",2003,日本,"动画,喜剧,剧情",9.0,298755人评价,暂无引言
198,冰川时代,  冰河世纪    冰原历险记,可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.7,695610人评价,暂无引言
199,忠犬八公物语,  八千公物语    阿八的故事,未知,"导演:,神山征二郎,Seijirô,Kôyama","主演:,仲代达矢,Tatsuya,Nakadai,/...",1987,日本,剧情,9.2,222517人评价,暂无引言
200,岁月神偷,  1969太空漫游    Echoes Of The Rainbow,可播放,"导演:,罗启锐,Alex,Law","主演:,吴君如,Sandra,Ng,/,任达华,Simon,Yam,/,钟绍...",2010,"中国大陆,中国香港","家庭,剧情",8.7,618358人评价,岁月流逝，来日可追。
201,遗愿清单,  玩转身前事(港)    一路玩到挂(台),可播放,"导演:,罗伯·莱纳,Rob,Reiner","主演:,杰克·尼科尔森,Jack,Nicholson,/,摩根...",2007,美国,"剧情,喜剧,冒险",8.7,551442人评价,用剩余不多的时间，去燃烧整个生命。
202,白日梦想家,  发梦王大历险(港)    白日梦冒险王(台),可播放,"导演:,本·斯蒂勒,Ben,Stiller","主演:,本·斯蒂勒,Ben,Stiller,/,克里斯汀·...",2013,"英国,美国","冒险,喜剧,剧情",8.6,671027人评价,暂无引言
203,大佛普拉斯,  The Great Buddha+,未知,"导演:,黄信尧,Hsin-yao,Huang","主演:,庄益增,Yizeng,Zhuang,/,陈竹昇,Chu-sh...",2017,中国台湾,"喜剧,剧情",8.7,566581人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
204,花束般的恋爱,  她和他的恋爱花期(港)    爱如花束 恋恋不忘,可播放,"导演:,土井裕泰,Nobuhiro,Doi","主演:,菅田将晖,Masaki,Suda,/,有村架纯,Kasu...",2021,日本,"爱情,剧情",8.6,852974人评价,暂无引言
205,爱乐之城,  星声梦里人(港)    乐来越爱你(台),可播放,"导演:,达米恩·查泽雷,Damien,Chazelle","主演:,瑞恩·高斯林,Ryan,Gosling,/...",2016,美国,"歌舞,爱情,剧情",8.4,1148347人评价,暂无引言
206,源代码,  启动原始码(台)    危机解密(港),可播放,"导演:,邓肯·琼斯,Duncan,Jones","主演:,杰克·吉伦哈尔,Jake,Gyllenhaal,/,...",2011,"加拿大,美国","惊悚,悬疑,科幻",8.6,941810人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
207,荒蛮故事,  蛮荒故事    生命中最抓狂的小事(台),可播放,"导演:,达米安·斯兹弗隆,Damián,Szifron","主演:,达里奥·葛兰帝内提,Darío...",2014,"西班牙,阿根廷","犯罪,喜剧,剧情",8.7,527304人评价,始于荒诞，止于更荒诞。
208,疯狂的麦克斯4：狂暴之路,  末日先锋：战甲飞车(港)    疯狂麦斯：愤怒道(台),可播放,"导演:,乔治·米勒,George,Miller","主演:,汤姆·哈迪,Tom,Hardy,/,查理兹·塞...",2015,"美国,澳大利亚","冒险,科幻,动作",8.7,628996人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
209,可可西里,  Kekexili: Mountain Patrol,可播放,"导演:,陆川,Chuan,Lu","主演:,多布杰,Duobujie,/,张磊,Lei,Zhang,/,亓亮,Qi,L...",2004,"中国香港,中国大陆","犯罪,剧情",8.9,352566人评价,坚硬的信仰。
210,你看起来好像很好吃,  你看起来很好吃(台)    你看上去好像很好吃,可播放,"导演:,藤森雅也,Masaya,Fujimori","主演:,山口胜平,Kappei,Yamaguchi,/,爱河...",2010,日本,"儿童,动画,剧情",8.9,382358人评价,感情不分食草或者食肉。
211,波西米亚狂想曲,  波希米亚狂想曲：摇滚传说(港)    波希米亚狂想曲(台),可播放,"导演:,布莱恩·辛格,Bryan,Singer","主演:,拉米·马雷克,Rami,Malek,/,本·哈...",2018,"美国,英国","音乐,同性,传记,剧情",8.6,702553人评价,暂无引言
212,贫民窟的百万富翁,  一百万零一夜(港)    贫民百万富翁(台),可播放,"导演:,丹尼·鲍尔,Danny,Boyle,/,洛芙琳·坦丹,Loveleen,Tandan","主演:,戴夫...",2008,英国,"爱情,剧情",8.6,815081人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
213,城市之光,  City Lights: A Comedy Romance in Pantomime    Lichter der Großstadt,可播放,"导演:,查理·卓别林,Charles,Chaplin","主演:,查理·卓别林,Charles,Chaplin,...",1931,美国,"爱情,剧情,喜剧",9.3,177017人评价,暂无引言
214,大红灯笼高高挂,  Raise The Red Lantern    Épouses et concubines,可播放,"导演:,张艺谋,Yimou,Zhang","主演:,巩俐,Li,Gong,/,马精武,Jingwu,Ma,/,何赛...",1991,"中国台湾,中国香港,中国大陆",剧情,8.8,386577人评价,暂无引言
215,哈利·波特与死亡圣器(上),  哈利波特7：死神的圣物1(港  台) ,可播放,"导演:,大卫·叶茨,David,Yates","主演:,丹尼尔·雷德克里夫,Daniel,Radcliffe...",2010,"美国,英国","冒险,奇幻",8.6,711611人评价,最忠于原著的一部。
216,无耻混蛋,  希魔撞正杀人狂(港)    恶棍特工(台),可播放,"导演:,昆汀·塔伦蒂诺,Quentin,Tarantino","主演:,布拉德·皮特,Brad,Pitt,/,...",2009,"美国,德国","犯罪,剧情",8.7,575572人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
217,爆裂鼓手,  鼓动真我(港)    进击的鼓手(台),可播放,"导演:,达米恩·查泽雷,Damien,Chazelle","主演:,迈尔斯·特勒,Miles,Teller,/...",2014,美国,"音乐,剧情",8.6,704424人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
218,终结者2：审判日,  未来战士2(港)    魔鬼终结者2(台),可播放,"导演:,詹姆斯·卡梅隆,James,Cameron","主演:,阿诺·施瓦辛格,Arnold,Schwarz...",1991,"法国,美国","科幻,动作",8.8,394414人评价,暂无引言
219,青蛇,  Green Snake,可播放,"导演:,徐克,Hark,Tsui","主演:,张曼玉,Maggie,Cheung,/,王祖贤,Joey,Wang,/,...",1993,"中国大陆,中国香港","古装,奇幻,爱情,剧情",8.6,610138人评价,暂无引言
220,东邪西毒,  Ashes of Time,可播放,"导演:,王家卫,Kar,Wai,Wong","主演:,张国荣,Leslie,Cheung,/,林青霞,Brigitte...",1994,"中国台湾,中国香港","古装,武侠,爱情,动作,剧情",8.6,643526人评价,暂无引言
221,黑天鹅,  夺命黑天鹅    霸王别鹅(豆友译名),可播放,"导演:,达伦·阿罗诺夫斯基,Darren,Aronofsky","主演:,娜塔莉·波特曼,Natalie...",2010,美国,"惊悚,剧情",8.6,857393人评价,黑暗之美。
222,新龙门客栈,  New Dragon Gate Inn,可播放,"导演:,李惠民,Raymond,Lee","主演:,张曼玉,Maggie,Cheung,/,林青霞,Brigitte,...",1992,"中国大陆,中国香港","古装,武侠,爱情,动作",8.7,519843人评价,暂无引言
223,初恋这件小事,  初恋那件小事(港)    暗恋那点小事,可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.5,1062663人评价,黑小鸭速效美白记。
224,千钧一发,  变种异煞(港)    自然人,可播放,"导演:,安德鲁·尼科尔,Andrew,Niccol","主演:,伊桑·霍克,Ethan,Hawke,/,乌玛...",1997,美国,"惊悚,科幻,剧情",8.8,360758人评价,暂无引言
225,人工智能,  AI人工智慧,可播放,"导演:,史蒂文·斯皮尔伯格,Steven,Spielberg","主演:,海利·乔·奥斯蒙,Haley...",2001,美国,"科幻,剧情",8.7,513038人评价,暂无引言
226,崖上的波妞,  悬崖上的金鱼姬    悬崖上的金鱼公主,可播放,"导演:,宫崎骏,Hayao,Miyazaki","主演:,奈良柚莉爱,Yuria,Nara,/,土井洋辉,Hir...",2008,日本,"冒险,奇幻,动画",8.6,586611人评价,暂无引言
227,虎口脱险,  横冲直撞出重围(港)    大進擊(台),可播放,"导演:,杰拉尔·乌里,Gérard,Oury","主演:,路易·德·菲耐斯,Louis,de,Funès...",1966,"英国,法国","战争,喜剧",8.9,302495人评价,暂无引言
228,彗星来的那一夜,  相干性    相干效应,可播放,"导演:,詹姆斯·沃德·布柯特,James,Ward,Byrkit","主演:,艾米丽·芭尔多尼,Em...",2013,"英国,美国","惊悚,悬疑,科幻",8.6,703466人评价,小成本大魅力。
229,哈利·波特与凤凰社,  哈利波特5：凤凰会的密令(港  台) ,可播放,"导演:,大卫·叶茨,David,Yates","主演:,丹尼尔·雷德克里夫,Daniel,Radcliffe...",2007,"美国,英国","冒险,奇幻",8.6,712065人评价,暂无引言
230,雨人,  手足情未了(港)    手足情深,可播放,"导演:,巴瑞·莱文森,Barry,Levinson","主演:,达斯汀·霍夫曼,Dustin,Hoffman,...",1988,美国,剧情,8.7,448865人评价,暂无引言
231,海边的曼彻斯特,  情系海边之城(港),可播放,"导演:,肯尼斯·罗纳根,Kenneth,Lonergan","主演:,卡西·阿弗莱克,Casey,Affle...",2016,美国,"家庭,剧情",8.6,669393人评价,我们都有权利不与自己的过去和解。
232,罗生门,  Rashomon,可播放,"导演:,黑泽明,Akira,Kurosawa","主演:,三船敏郎,Toshirô,Mifune,/,京町子,...",1950,日本,"悬疑,犯罪,剧情",8.8,365010人评价,暂无引言
233,火星救援,  火星任务(港)    绝地救援(台),可播放,"导演:,雷德利·斯科特,Ridley,Scott","主演:,马特·达蒙,Matt,Damon,/,杰西卡...",2015,"约旦,匈牙利,美国,英国","冒险,科幻,剧情",8.5,857929人评价,暂无引言
234,恋恋笔记本,  忘了·忘不了(港)    手札情缘(台),可播放,"导演:,尼克·卡索维茨,Nick,Cassavetes","主演:,瑞恩·高斯林,Ryan,Gosling,/...",2004,美国,"爱情,剧情",8.5,761612人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
235,冰雪奇缘,  魔雪奇缘(港)    冰雪大冒险,可播放,"导演:,克里斯·巴克,Chris,Buck,/,珍妮弗·李,Jennifer,Lee","主演:,克里斯汀...",2013,美国,"歌舞,奇幻,动画,喜剧",8.5,854095人评价,暂无引言
236,真爱至上,  真的恋爱了(港)    爱是您，爱是我(台),可播放,"导演:,理查德·柯蒂斯,Richard,Curtis","主演:,休·格兰特,Hugh,Grant,/,连姆...",2003,"法国,美国,英国","爱情,剧情,喜剧",8.5,816601人评价,暂无引言
237,黑客帝国2：重装上阵,  22世纪杀人网络2：决战未来(港)    骇客任务：重装上阵(台),可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.7,463977人评价,暂无引言
238,步履不停,  横山家之味(港  台) ,可播放,"导演:,是枝裕和,Hirokazu,Koreeda","主演:,阿部宽,Hiroshi,Abe,/,夏川结衣,Yu...",2008,日本,"家庭,剧情",8.8,335702人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
239,蜘蛛侠：平行宇宙,  蜘蛛侠：新纪元    蜘蛛人：新宇宙(台),可播放,导演数据异常,主演数据异常,发布年份数据异常,国家数据异常,电影类型数据异常,8.6,773138人评价,暂无引言
240,千年女优,  Millennium Actress,未知,"导演:,今敏,Satoshi,Kon","主演:,庄司美代子,Miyoko,Shôji,/,小山茉美,Mam...",2001,日本,"爱情,剧情,动画",8.8,324747人评价,暂无引言
241,谍影重重2,  叛谍追击2：机密圈套(港)    神鬼认证：神鬼疑云(台),可播放,"导演:,保罗·格林格拉斯,Paul,Greengrass","主演:,马特·达蒙,Matt,Damon,/,...",2004,"德国,美国","惊悚,悬疑,动作",8.7,409014人评价,谁说王家卫镜头很晃？
242,奇迹男孩,  奇迹,可播放,"导演:,斯蒂芬·卓博斯基,Stephen,Chbosky","主演:,雅各布·特伦布莱,Jacob,Tr...",2017,"中国香港,美国","家庭,儿童,剧情",8.6,608101人评价,世界不完美，爱会有奇迹。
243,战争之王,  军火之王(台  港) ,可播放,"导演:,安德鲁·尼科尔,Andrew,Niccol","主演:,尼古拉斯·凯奇,Nicolas,Cage,/...",2005,"德国,美国","犯罪,剧情",8.7,422483人评价,做一颗让别人需要你的棋子。
244,攻壳机动队,  Ghost in the Shell,未知,"导演:,押井守,Mamoru,Oshii","主演:,田中敦子,Atsuko,Tanaka,/,大冢明夫,Akio...",1995,日本,"动画,科幻,动作",9.0,225523人评价,暂无引言
245,血钻,  血钻石(台)    血腥钻石,可播放,"导演:,爱德华·兹威克,Edward,Zwick","主演:,莱昂纳多·迪卡普里奥,Leonardo,...",2006,"英国,德国,美国","冒险,惊悚,剧情",8.7,428453人评价,每个美丽事物背后都是滴血的现实。
246,小姐,  下女诱罪(港)    下女的诱惑(台),未知,"导演:,朴赞郁,Chan-wook,Park","主演:,金敏喜,Min-hee,Kim,/,金泰梨,Tae-ri,K...",2016,韩国,"同性,情色,悬疑,剧情",8.6,593593人评价,暂无引言
247,血观音,"  修罗花    The Bold, the Corrupt, and the Beautiful",未知,"导演:,杨雅喆,Ya-che,Yang","主演:,惠英红,Kara,Wai,Ying,Hung,/,吴可熙,Wu,K...",2017,中国台湾,"悬疑,剧情",8.6,583309人评价,暂无引言
248,隐藏人物,  NASA无名英雌(港)    关键少数(台),可播放,"导演:,特奥多尔·梅尔菲,Theodore,Melfi","主演:,塔拉吉·P·汉森,Taraji,P.,...",2016,美国,"历史,传记,剧情",8.9,280550人评价,暂无引言
249,魂断蓝桥,  滑铁卢桥    断桥残梦,可播放,"导演:,茂文·勒鲁瓦,Mervyn,LeRoy","主演:,费雯·丽,Vivien,Leigh,/,罗伯特·...",1940,美国,"战争,爱情,剧情",8.8,315466人评价,暂无引言
250,房间,  不存在的房间(台)    抖室(港),可播放,"导演:,伦尼·阿伯拉罕森,Lenny,Abrahamson","主演:,布丽·拉尔森,Brie,Larson...",2015,"美国,英国,加拿大,爱尔兰","家庭,剧情",8.7,404811人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
